id,name,startTime,endTime,category
65,Copa Sudamericana/Fixtures 03 September/Gimnasia La Plata v Estudiantes,2014-09-03 17:00:00,2014-09-03 17:49:30,soccer
66,Copa Sudamericana/Fixtures 04 September/Godoy Cruz v River Plate,2014-09-04 00:15:00,2014-09-04 02:05:58,soccer
67,Copa Sudamericana/Fixtures 04 September/Vitoria BA v Sport Recife,2014-09-04 01:00:00,2014-09-04 02:55:07,soccer
68,Copa Sudamericana/Fixtures 05 September/Bahia v Internacional,2014-09-05 01:00:00,2014-09-05 02:52:57,soccer
69,Copa Sudamericana/Fixtures 05 September/Rosario Central v Boca Juniors,2014-09-05 00:15:00,2014-09-05 02:14:14,soccer
70,Copa Sudamericana/Fixtures 05 September/Sao Paulo v Criciuma,2014-09-04 23:00:00,2014-09-05 00:53:20,soccer
71,Czech Soccer/Czech 3. Liga/Fixtures 03 September/Bohemians Prague v Kraluv Dvur,2014-09-03 15:00:00,2014-09-03 16:52:34,soccer
72,Czech Soccer/Czech 3. Liga/Fixtures 03 September/Meteor Prague v SK Viktorie Jirny,2014-09-03 15:30:00,2014-09-03 17:24:56,soccer
73,Czech Soccer/Czech 3. Liga/Fixtures 03 September/Union 2013 v Zenit Caslav,2014-09-03 15:00:00,2014-09-03 16:54:16,soccer
74,Czech Soccer/Czech 3. Liga/Fixtures 03 September/Vysehrad v TJ Sokol Zapy,2014-09-03 15:00:00,2014-09-03 16:39:56,soccer
75,Czech Soccer/Czech 3. Liga/Fixtures 05 September/Kromeriz v FK Slavia Orlova-Lutyne,2014-09-05 16:00:00,2014-09-05 17:52:15,soccer
76,Czech Soccer/Czech 3. Liga/Fixtures 06 September/Loko Vltavin v FK TJ Stechovice,2014-09-06 08:15:00,2014-09-06 10:05:01,soccer
77,Czech Soccer/Czech 3. Liga/Fixtures 06 September/Prostejov v 1. FC Slovacko II,2014-09-06 08:15:00,2014-09-06 10:03:44,soccer
78,Czech Soccer/Czech Republic Cup/Fixtures 05 September/Usti nad Labem v Slovan Liberec,2014-09-05 14:00:00,2014-09-05 15:14:47,soccer
79,Czech Soccer/Czech Republic Cup/Fixtures 05 September/Vlasim v Pribram,2014-09-05 15:00:00,2014-09-05 16:49:58,soccer
80,Czech Soccer/Czech Republic Cup/Fixtures 06 September/Bohemians Prague v Teplice,2014-09-06 08:15:00,2014-09-06 10:01:13,soccer
81,Czech Soccer/Czech Republic Cup/Fixtures 07 September/Zivanice v Sparta Prague,2014-09-07 15:00:00,2014-09-07 15:48:51,soccer
82,Czech Soccer/Czech U19 League/Fixtures 06 September/Ceske Budejovice U19 v Bohemians 1905 U19,2014-09-06 09:00:00,2014-09-06 10:59:25,soccer
