id,name,startTime,endTime,category
111,CAF African Cup of Nations/Fixtures 06 September/Ghana v Uganda,2014-09-06 16:00:00,2014-09-06 17:58:39,soccer
112,CAF African Cup of Nations/Fixtures 06 September/Nigeria v Congo,2014-09-06 14:00:00,2014-09-06 16:53:38,soccer
113,CAF African Cup of Nations/Fixtures 06 September/Tunisia v Botswana,2014-09-06 19:15:00,2014-09-06 21:11:09,soccer
114,Chilean Soccer/Chilean Cup/Fixtures 03 September / Barnechea v OHiggins,2014-09-03 19:00:00,2014-09-03 20:53:46,soccer
115,Chilean Soccer/Chilean Cup/Fixtures 03 September/Huachipato v Lota Schwager,2014-09-03 20:00:00,2014-09-03 21:58:45,soccer
116,Chilean Soccer/Chilean Cup/Fixtures 04 September/San Luis de Quillota v Santiago Wanderers,2014-09-03 23:00:00,2014-09-04 01:15:32,soccer
117,Chilean Soccer/Chilean Primera B/Fixtures 07 September/Coquimbo Unido v La Serena,2014-09-07 15:00:00,2014-09-07 17:05:05,soccer
118,Chilean Soccer/Chilean Primera B/Fixtures 07 September/San Luis de Quillota v Deportes Copiapo,2014-09-06 23:00:00,2014-09-07 00:52:36,soccer
119,Chilean Soccer/Chilean Primera B/Fixtures 07 September/Santiago Morning v Curico Unido,2014-09-07 15:00:00,2014-09-07 16:52:12,soccer
120,Chilean Soccer/Chilean Primera B/Fixtures 07 September/Union San Felipe v Magallanes,2014-09-07 18:30:00,2014-09-07 20:28:40,soccer
121,Club Friendlies 2014/Fixtures 05 September/Bourg en Bresse v Strasbourg,2014-09-05 19:00:00,2014-09-05 20:47:50,basket
122,Club Friendlies 2014/Fixtures 05 September/Chalon Saone v Lyon,2014-09-05 16:30:00,2014-09-05 18:12:12,basket
123,Club Friendlies 2014/Fixtures 05 September/Prostejov v Svitavy,2014-09-05 17:00:00,2014-09-05 18:38:15,basket
124,Club Friendlies 2014/Fixtures 05 September/Rouen v Le Havre,2014-09-05 16:00:00,2014-09-05 17:57:19,basket
125,Club Friendlies 2014/Fixtures 06 September/AENK v Apollon Patras,2014-09-06 16:00:00,2014-09-06 17:40:34,basket
126,Club Friendlies 2014/Fixtures 06 September/Brose v Artland,2014-09-06 17:30:00,2014-09-06 19:33:35,basket
127,Club Friendlies 2014/Fixtures 06 September/Gottingen v Bayern Munchen,2014-09-06 17:30:00,2014-09-06 19:32:32,basket
128,Club Friendlies 2014/Fixtures 06 September/Phoenix Hagen v Bonn,2014-09-06 15:00:00,2014-09-06 16:55:52,basket
129,Colombian Soccer/Colombian Primera B/Fixtures 01 September/Bogota v CCD Tulua,2014-09-01 18:00:00,2014-09-01 19:48:51,soccer
130,Colombian Soccer/Colombian Primera B/Fixtures 01 September/Depor Aguablanca v Valledupar FC,2014-08-31 23:30:00,2014-09-01 01:23:57,soccer
131,Colombian Soccer/Colombian Primera B/Fixtures 02 September/Cucuta Deportivo v Real Cartagena,2014-09-02 01:00:00,2014-09-02 02:53:47,soccer
132,Colombian Soccer/Colombian Primera B/Fixtures 02 September/Quindio v Llaneros FC,2014-09-01 23:00:00,2014-09-02 00:53:10,soccer
133,Colombian Soccer/Colombian Primera B/Fixtures 03 September/Deportivo Rionegro v Jaguares de Cordoba,2014-09-03 20:00:00,2014-09-03 21:50:28,soccer
134,Colombian Soccer/Colombian Primera B/Fixtures 04 September/CD Barranquilla v Bogota,2014-09-04 20:00:00,2014-09-04 21:48:43,soccer
135,Colombian Soccer/Colombian Primera B/Fixtures 04 September/CD Real Santander v Cucuta Deportivo,2014-09-04 14:00:00,2014-09-04 15:52:18,soccer
136,Colombian Soccer/Colombian Primera B/Fixtures 04 September/Depor Aguablanca v CA Bucaramanga CD,2014-09-04 00:00:00,2014-09-04 01:52:33,soccer
137,Colombian Soccer/Colombian Primera B/Fixtures 04 September/Llaneros FC v CD Uni de Popayan,2014-09-04 16:30:00,2014-09-04 18:22:00,soccer
138,Colombian Soccer/Colombian Primera B/Fixtures 05 September/CCD Tulua v AD Union Magdalena,2014-09-05 01:00:00,2014-09-05 02:50:40,soccer
139,Colombian Soccer/Colombian Primera B/Fixtures 06 September/Deportivo Rionegro v Expreso Rojo,2014-09-06 20:00:00,2014-09-06 21:50:21,soccer
140,Colombian Soccer/Colombian Primera B/Fixtures 07 September/Bogota v Llaneros FC,2014-09-07 20:00:00,2014-09-07 21:49:43,soccer
141,Colombian Soccer/Colombian Primera B/Fixtures 07 September/CCD Tulua v CD Uni de Popayan,2014-09-07 20:30:00,2014-09-07 22:24:40,soccer
142,Colombian Soccer/Colombian Primera B/Fixtures 07 September/CD Real Santander v CA Bucaramanga CD,2014-09-07 20:00:00,2014-09-07 21:46:47,soccer
143,Colombian Soccer/Copa Colombia/Fixtures 05 September/Deportivo Cali v Atletico Nacional,2014-09-05 00:45:00,2014-09-05 02:40:20,soccer
144,Colombian Soccer/Liga Postobon/Fixtures 01 September/Millonarios v Santa Fe,2014-09-01 00:45:00,2014-09-01 02:38:17,soccer
145,Colombian Soccer/Liga Postobon/Fixtures 02 September/La Equidad v Atletico Nacional,2014-09-02 01:00:00,2014-09-02 02:54:28,soccer
146,Colombian Soccer/Liga Postobon/Fixtures 04 September / Alianza Petrolera v La Equidad,2014-09-04 20:15:00,2014-09-04 22:07:22,soccer
147,Colombian Soccer/Liga Postobon/Fixtures 04 September/Aguilas Doradas v Santa Fe,2014-09-03 23:00:00,2014-09-04 01:00:23,soccer
148,Colombian Soccer/Liga Postobon/Fixtures 04 September/Junior v Atletico Huila,2014-09-04 01:00:00,2014-09-04 03:13:11,soccer
149,Colombian Soccer/Liga Postobon/Fixtures 06 September/Atletico Huila v Millonarios,2014-09-06 21:00:00,2014-09-07 02:13:44,soccer
150,Colombian Soccer/Liga Postobon/Fixtures 06 September/Fortaleza (Col) v Ind Medellin,2014-09-06 19:00:00,2014-09-06 21:00:06,soccer
151,Colombian Soccer/Liga Postobon/Fixtures 06 September/Santa Fe v Tolima,2014-09-06 22:30:00,2014-09-07 00:24:26,soccer
152,Colombian Soccer/Liga Postobon/Fixtures 07 September/Deportivo Pasto v La Equidad,2014-09-07 20:15:00,2014-09-07 22:07:11,soccer
153,Colombian Soccer/Liga Postobon/Fixtures 07 September/Junior v Alianza Petrolera,2014-09-07 22:30:00,2014-09-07 23:52:17,soccer
154,Colombian Soccer/Liga Postobon/Fixtures 07 September/Once Caldas v Envigado,2014-09-07 01:00:00,2014-09-07 03:55:32,soccer
155,Colombian Soccer/Liga Postobon/Fixtures 31 August    / Tolima v Once Caldas,2014-08-31 22:30:00,2014-09-01 00:26:41,soccer
156,Colombian Soccer/Liga Postobon/Fixtures 31 August   /Ind Medellin v Aguilas Doradas,2014-08-31 22:45:00,2014-09-01 00:42:55,soccer
157,Copa Centroamericana/Fixtures 03 September / Costa Rica v Nicaragua,2014-09-03 21:30:00,2014-09-03 23:30:52,soccer
158,Copa Centroamericana/Fixtures 04 September/El Salvador v Guatemala,2014-09-04 01:30:00,2014-09-04 03:37:05,soccer
159,Copa Centroamericana/Fixtures 04 September/Honduras v Belize,2014-09-03 23:30:00,2014-09-04 01:33:47,soccer
160,Copa Centroamericana/Fixtures 07 September/Costa Rica v Panama,2014-09-07 21:00:00,2014-09-07 23:07:02,soccer
161,Copa Sudamericana/Fixtures 03 September/Gimnasia La Plata v Estudiantes,2014-09-03 17:00:00,2014-09-03 18:53:57,soccer
162,Copa Sudamericana/Fixtures 04 September/Godoy Cruz v River Plate,2014-09-04 00:15:00,2014-09-04 02:06:03,soccer
163,Copa Sudamericana/Fixtures 04 September/Goias v Fluminense,2014-09-04 01:00:00,2014-09-04 02:55:44,soccer
164,Copa Sudamericana/Fixtures 04 September/Vitoria BA v Sport Recife,2014-09-04 01:00:00,2014-09-04 02:55:12,soccer
165,Copa Sudamericana/Fixtures 05 September/Bahia v Internacional,2014-09-05 01:00:00,2014-09-05 02:52:57,soccer
166,Copa Sudamericana/Fixtures 05 September/Rosario Central v Boca Juniors,2014-09-05 00:15:00,2014-09-05 02:14:22,soccer
167,Copa Sudamericana/Fixtures 05 September/Sao Paulo v Criciuma,2014-09-04 23:00:00,2014-09-05 00:53:21,soccer
168,Costa Rican Soccer/Costa Rican Primera Division/Fixtures 07 September/AD UCR v AD Santos de Guapiles,2014-09-07 18:00:00,2014-09-07 19:51:50,soccer
169,Costa Rican Soccer/Costa Rican Primera Division/Fixtures 07 September/CS Uruguay de Coronado v Limon FC,2014-09-07 18:00:00,2014-09-07 19:55:43,soccer
170,Croatian Soccer/Croatian Division 2/Fixtures 05 September/Hrvatski Dragovoljac v NK Imotski,2014-09-05 15:00:00,2014-09-05 16:51:39,soccer
171,Croatian Soccer/Croatian Division 2/Fixtures 05 September/Inter Zapresic v Radnik Sesvete,2014-09-05 16:00:00,2014-09-05 17:48:22,soccer
172,Czech Soccer/Czech 3. Liga/Fixtures 03 September/Bohemians Prague v Kraluv Dvur,2014-09-03 15:00:00,2014-09-03 16:52:34,soccer
173,Czech Soccer/Czech 3. Liga/Fixtures 03 September/FK Lounovice v Loko Vltavin,2014-09-03 15:00:00,2014-09-03 16:51:31,soccer
174,Czech Soccer/Czech 3. Liga/Fixtures 03 September/Meteor Prague v SK Viktorie Jirny,2014-09-03 15:30:00,2014-09-03 17:24:56,soccer
175,Czech Soccer/Czech 3. Liga/Fixtures 03 September/Pisek v Jiskra Domazlice,2014-09-03 15:00:00,2014-09-03 15:56:27,soccer
176,Czech Soccer/Czech 3. Liga/Fixtures 03 September/Union 2013 v Zenit Caslav,2014-09-03 15:00:00,2014-09-03 16:54:16,soccer
177,Czech Soccer/Czech 3. Liga/Fixtures 03 September/Vysehrad v TJ Sokol Zapy,2014-09-03 15:00:00,2014-09-03 16:52:53,soccer
178,Czech Soccer/Czech 3. Liga/Fixtures 05 September/Kromeriz v FK Slavia Orlova-Lutyne,2014-09-05 16:00:00,2014-09-05 17:52:15,soccer
179,Czech Soccer/Czech 3. Liga/Fixtures 06 September/Loko Vltavin v FK TJ Stechovice,2014-09-06 08:15:00,2014-09-06 10:05:01,soccer
180,Czech Soccer/Czech 3. Liga/Fixtures 06 September/MFK Chrudim v Vysehrad,2014-09-06 08:15:00,2014-09-06 10:09:48,soccer
181,Czech Soccer/Czech 3. Liga/Fixtures 06 September/Prostejov v 1. FC Slovacko II,2014-09-06 08:15:00,2014-09-06 10:03:44,soccer
182,Czech Soccer/Czech 3. Liga/Fixtures 07 September/Meteor Prague v FK Lounovice,2014-09-07 08:15:00,2014-09-07 10:05:17,soccer
183,Czech Soccer/Czech 3. Liga/Fixtures 07 September/Unicov v Zlin II,2014-09-07 08:15:00,2014-09-07 10:05:17,soccer
184,Czech Soccer/Czech Republic Cup/Fixtures 02 September/FC Velke Mezirici v Sigma Olomouc,2014-09-02 15:00:00,2014-09-02 16:48:04,soccer
185,Czech Soccer/Czech Republic Cup/Fixtures 05 September/Opava v MFK Karvina,2014-09-05 16:00:00,2014-09-05 17:53:15,soccer
186,Czech Soccer/Czech Republic Cup/Fixtures 05 September/Usti nad Labem v Slovan Liberec,2014-09-05 14:00:00,2014-09-05 15:54:44,soccer
